url,size,outlink,Content-Type
https://www.latimes.com/lifestyle/image/story/2022-10-19/the-story-of-los-angeles-beauty-scene-past-and-present,496707,211,text/html;charset=UTF-8
https://www.latimes.com/recipe/rice-bowl-cauliflower-zucchini-and-eggplant,347152,215,text/html;charset=UTF-8
https://www.latimes.com/recipe/eggplant-zucchini-pepper-enchiladas,341692,211,text/html;charset=UTF-8
https://www.latimes.com/recipe/zucchini-eggplant-pepper-timbales,339661,211,text/html;charset=UTF-8
https://www.latimes.com/food/story/2022-08-19/chef-keith-corbin-california-soul-black-cuisine-memoir-vegan-gumbo,296519,197,text/html;charset=UTF-8
https://www.latimes.com/recipe/eggplant-timbale,342700,211,text/html;charset=UTF-8
https://www.latimes.com/food/story/2022-11-09/a-guide-to-classic-thanksgiving-everything-you-need-to-know,376629,237,text/html;charset=UTF-8
https://www.latimes.com/recipe/roasted-eggplant-with-cheater-sichuan-style-pork,338604,210,text/html;charset=UTF-8
https://www.latimes.com/recipe/taiwanese-style-eggplant,341787,211,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2022-03-14/photos-as-the-sun-sets-on-sxsw-see-the-stars-themselves-face-to-face,492082,191,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2022-03-18/sxsw-film-festival-best-highlights-wrap,269758,207,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2021-01-07/one-night-in-miami-review-regina-king-ali-malcolm-x,271851,211,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2022-03-08/true-crime-comedy-podcasts-make-a-killing,262512,199,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/movies/story/2022-03-18/master-explained-amazon-regina-hall,276854,204,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-elisa-wouk-almino,298600,202,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-marque-richardson,288465,196,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2021-12-01/a-letter-to-the-la-of-my-dreams-cerise-castle,299093,198,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2022-03-27/11-oscars-red-carpet-looks-worth-remembering-and-the-quotes-that-explain-them,314164,185,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/image/story/2022-03-28/oscars-red-carpet-fashion-trend-analysis-the-bow-tie-style,270701,199,text/html;charset=UTF-8
https://www.latimes.com/business/hiltzik/la-fi-hiltzik-chipotle-20180601-story.html,265628,223,text/html;charset=UTF-8
https://www.latimes.com/business/story/2022-09-05/tiktok-is-an-enticing-target-for-hackers,258637,211,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/story/2022-09-16/la-affairs-journalist-crush-bad-breath-orange-county-harold-pierce,277151,213,text/html;charset=UTF-8
https://www.latimes.com/business/technology/story/2019-10-24/tiktok-national-security-investigation-senators,265369,194,text/html;charset=UTF-8
https://www.latimes.com/business/story/2020-09-25/newsom-order-gas-guzzling-vehicles,286591,225,text/html;charset=UTF-8
https://www.latimes.com/lifestyle/story/2022-08-19/la-affairs-husband-illness-final-words-call-me-yvonne-condes,269485,210,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/music/story/2022-05-25/tik-tok-halsey-florence-welch,301690,217,text/html;charset=UTF-8
https://www.latimes.com/entertainment-arts/story/2021-01-02/tiktok-ratatouille-musical-theater,272600,230,text/html;charset=UTF-8
